"Wage","Associate's","Bachelor's","Doctorate","High School","Master's","None","GDP per capita","Unemployment"
162000,0,0,0,0,1,0,12578.359,5.35
138000,0,0,0,0,1,0,12578.359,5.35
183600,0,0,0,0,1,0,12578.359,5.35
226000,0,0,0,0,0,1,54580.308,5.35
145000,0,1,0,0,0,0,12578.359,5.35
153000,0,0,0,0,1,0,12578.359,5.35
175000,0,0,0,0,1,0,12578.359,5.35
97885,0,1,0,0,0,0,32793.3645,2.8
83500,0,0,0,0,1,0,1555.709,7.35
112500,0,0,1,0,0,0,12578.359,5.35
74314,0,0,0,0,1,0,12518.036,3.7
74314,0,0,0,0,1,0,12578.359,5.35
74314,0,0,0,0,1,0,12578.359,5.35
87050,0,0,0,0,1,0,32793.3645,2.8
91600,0,1,0,0,0,0,47414.5395,3.95
135332,0,1,0,0,0,0,54580.308,5.35
139050,0,0,1,0,0,0,10127.2495,8.65
90562,0,0,1,0,0,0,12578.359,5.35
51.86,0,0,1,0,0,0,56169.5465,7.6
330000,0,0,0,0,0,0,32793.3645,2.8
40289.6,0,1,0,0,0,0,6831.44,10.65
138965,0,0,0,0,1,0,12578.359,5.35
230000,0,0,0,0,1,0,54580.308,5.35
54059,0,1,0,0,0,0,33905.298,2.6
102000,0,0,0,0,1,0,12578.359,5.35
82077,0,0,0,0,1,0,12578.359,5.35
137419,0,0,0,0,1,0,12578.359,5.35
115710,0,1,0,0,0,0,12578.359,5.35
122000,0,0,0,0,1,0,12578.359,5.35
117832,0,1,0,0,0,0,10127.2495,8.65
169000,0,0,0,0,1,0,12578.359,5.35
120931,0,0,0,0,1,0,12578.359,5.35
124550,0,1,0,0,0,0,12450.6815,3.05
174000,0,1,0,0,0,0,54580.308,5.35
155106,0,0,1,0,0,0,12578.359,5.35
180000,0,0,0,0,1,0,12578.359,5.35
114650,0,0,0,0,1,0,33491.957,5.6
103000,0,0,1,0,0,0,12578.359,5.35
48069,0,1,0,0,0,0,32793.3645,2.8
210000,0,0,0,0,1,0,12578.359,5.35
113318,0,1,0,0,0,0,47414.5395,3.95
129400,0,1,0,0,0,0,65504.595,3.7
230000,0,1,0,0,0,0,4870.7305,5.6
77250,0,0,0,0,1,0,6831.44,10.65
